Year,Actor,Movie,Songs,Singer,Music Director,Director
1988,Mohan,Paasa Paravaigal,Thenpandi Thamizhe,"KJ Yesudas, Chitra",Ilayaraja,
1981,Karthik,Alaigal Oyvathillai,Aayiram Thamarai,"SPB, S Janaki",Ilayaraja,Bharathiraja
1981,Karthik,Alaigal Oyvathillai,Darisanam Kidaikadha,Ilayaraja,Ilayaraja,Bharathiraja
1981,Karthik,Alaigal Oyvathillai,Kadhal Oviyam,"Ilayaraj, Jency",Ilayaraja,Bharathiraja
1981,Karthik,Alaigal Oyvathillai,Putham Puthu Kaalai,S Janaki,Ilayaraja,Bharathiraja
1981,Karthik,Alaigal Oyvathillai,Vizhiyil Vizhundhu,Ilayaraja,Ilayaraja,Bharathiraja
1982,Karthik,Ninaivellam Nithya,Neethane Enthan ,SPB,Ilayaraja,CV Sridhar
1982,Karthik,Ninaivellam Nithya,Panivizhum Malar,SPB,Ilayaraja,CV Sridhar
1982,Karthik,Ninaivellam Nithya,Rojavai Thaalatum,"SPB,  S Janaki",Ilayaraja,CV Sridhar
1986,Karthik,Dharma Pathini,Naan Thedum Sevanthi,"Ilayaraja, S Janaki",Ilayaraja,
1988,Karthik,Solla Thudikudhu Manasu,Poove Sem Poove,KJ Yesudas,Ilayaraja,
1988,Karthik,Agni Natchathiram,Thoongatha Vizhigal,"KJ Yesudas, S Janaki",Ilayaraja,Mani Ratnam
1988,Karthik,Agni Natchathiram,Ninukori Vannam,Chitra ,Ilayaraja,Mani Ratnam
1988,Karthik,Agni Natchathiram,Oru Poonga Vanam,S Janaki,Ilayaraja,Mani Ratnam
1988,Karthik,Agni Natchathiram,Raja Rajathi,Ilayaraja,Ilayaraja,Mani Ratnam
1988,Karthik,Agni Natchathiram,Roja Poo Adivandhadhu,S Janaki,Ilayaraja,Mani Ratnam
1988,Karthik,Agni Natchathiram,Vaa Vaa Anbe Anbe,"KJ Yesudas, Chitra",Ilayaraja,Mani Ratnam
1989,Karthik,Varusham 16,Pazhamuthir Cholai,KJ Yesudas,Ilayaraja,Fazil
1989,Karthik,Varusham 16,Karayatha Manamum Undo,"KJ Yesudas, Chitra",Ilayaraja,Fazil
1990,Karthik,Kalyana Pasi,Pathinetu Vayadhu,"Jayachandran, Chitra",Gyan Varma,
1990,Karthik,Kizhakku Vasal,Pachamal Poovu,SPB,Ilayaraja,RV Udhaykumar
1990,Karthik,Kizhakku Vasal,Paadi Parantha,SPB,Ilayaraja,RV Udhaykumar
1990,Karthik,Kizhakku Vasal,Ada Veetuku,Ilayaraja,Ilayaraja,RV Udhaykumar
1991,Karthik,Gopuram Vasalile,Kadhal Kavithaigal,"SPB, Chitra",Ilayaraja,
1992,Karthik,Unnai Nenachen ,Ennai Thottu,"SPB, Swarnalatha",Ilayaraja,
1993,Karthik,Ponnumani,Nenjukule Innarendru,"SPB, S Janaki",Ilayaraja,RV Udhaykumar
1982,Vijaykanth,Auto Raja,Sangathil Padadha,"Ilayaraja, S Janaki",Ilayaraja,
1984,Vijaykanth,Nooravathu Naal,Vizhiyile Mani ,"SPB, S Janaki",Ilayaraja,Manivannan
1984,Vijaykanth,Vaidhehi Kathirundhal,Rasathi Unna,Jayachandran,Ilayaraja,R Sundarajan
1984,Vijaykanth,Vaidhehi Kathirundhal,Azhagu Malarada,"S Janaki, TS Raghavendran",Ilayaraja,R Sundarajan
1984,Vijaykanth,Vaidhehi Kathirundhal,Kaathirunthu,Jayachandran,Ilayaraja,R Sundarajan
1984,Vijaykanth,Vaidhehi Kathirundhal,Megam Karukayile,"Ilayaraja, Uma Ramanan",Ilayaraja,R Sundarajan
1984,Vijaykanth,Vaidhehi Kathirundhal,Inraiku Yen Indha ,"Jayachandran, Vani Jayaram",Ilayaraja,R Sundarajan
1985,Vijaykanth,Neethiyin Marupakkam,Maalai Karukayile,"KJ Yesudas, S Janaki",Ilayaraja,
1986,Vijaykanth,Amman Kovil Kizhakale,Chinamani Kuyile,SPB,Ilayaraja,R Sundarajan
1986,Vijaykanth,Amman Kovil Kizhakale,Poove Eduthu,"Jayachandran, S Janaki",Ilayaraja,R Sundarajan
1986,Vijaykanth,Amman Kovil Kizhakale,Un Parvayil,"KJ Yesudas, Chitra",Ilayaraja,R Sundarajan
1986,Vijaykanth,Oomai Vizhigal,Tholvi Nilayana,PB Sreenivas,Manoj Gyan,
1990,Vijaykanth,Chatriyan,Maalayil Yaro,Swarnalatha,Ilayaraja,
1991,Vijaykanth,Captain Prabhakaran,Aatama Therotama,Swarnalatha,Ilayaraja,
1992,Vijaykanth,Chinna Gounder,Antha Vanatha Pola,Ilayaraja,Ilayaraja,RV Udhaykumar
1992,Vijaykanth,Chinna Gounder,Kannu Padapogudhu,Ilayaraja,Ilayaraja,RV Udhaykumar
1992,Vijaykanth,Chinna Gounder,Koondu Kulla ,"SPB, S Janaki",Ilayaraja,RV Udhaykumar
1992,Vijaykanth,Chinna Gounder,Muthumani Mala,"SPB, P Susheela",Ilayaraja,RV Udhaykumar
1993,Vijaykanth,Koyil Kaalai,Adi Maana Madhurayila,"SPB, S Janaki",Ilayaraja,Gangai Amaran
1952,Sivaji,Parasakthi,Oh Rasikum Seemane,MS Rajeswari,R Sudarsanam,Krishnanâ€“Panju
1956,Sivaji,Amara Deepam,Jalilo Gymkhana,Jikki,Chalapathi Rao,T Prakash Rao
1956,Sivaji,Rangoon Radha,Thalaivari Poochudi Unnai,Bhanumathi,TR Paapa,
1957,Sivaji,Makkalai Petra Magarasi,Manaparai Maadu Katti,TMS ,KV Mahadevan,
1957,Sivaji,Makkalai Petra Magarasi,Ondru Serndha Anbu,PB Sreenivas,KV Mahadevan,
1957,Sivaji,Pudhayal,Vinnodum Mugilodum,"CS Jayaram, P Susheela",Visw-Ram,Krishnanâ€“Panju
1957,Sivaji,Pudhayal,Unakaga Ellam Unakaga,JP Chandrababu,Visw-Ram,Krishnanâ€“Panju
1957,Sivaji,Manamagan Thevai,Pambarakanale,JP Chandrababu,G Ramanathan,
1957,Sivaji,Thangamalai Ragasiyam,Amudhai Pozhiyum Nilave,P Susheela,TG Lingappa,BR Panthulu
1957,Sivaji,Ambikapathy,Sindhanai Sei Maname,TMS ,G Ramanathan,P Neelakantan
1957,Sivaji,Ambikapathy,Vadivelum Mayilum,TMS ,G Ramanathan,P Neelakantan
1957,Sivaji,Ambikapathy,Maasila Nilave,"TMS, Bhanumathi",G Ramanathan,P Neelakantan
1958,Sivaji,Uthama Puthiran,Yaaradi Nee Mohini,"TMS, Jamuna Rani, Jikki",G Ramanathan,T Prakash Rao
1958,Sivaji,Uthama Puthiran,Mullai Malar Mele,"TMS, P Susheela",G Ramanathan,T Prakash Rao
1958,Sivaji,Uthama Puthiran,Unnazhagai Kanniyargal,P Susheela,G Ramanathan,T Prakash Rao
1958,Sivaji,Sarangadhara,Vasantha Mullai Pole,TMS,G Ramanathan,
1958,Sivaji,Sabash Meena,Chitiram Pesuthadi,TMS,TG Lingappa,BR Panthulu
1959,Sivaji,Thanga Padhumai,Mugathil Mugam,"TMS, Leela",Visw-Ram,
1959,Sivaji,Veerapandiya Kattaboman,Inbam Pongum Vennila,"PBS, P Susheela",G Ramanathan,BR Panthulu
1959,Sivaji,Veerapandiya Kattaboman,Singara Kanne,Varalakshmi,G Ramanathan,BR Panthulu
1959,Sivaji,Maragatham,Kunguma Poove,"Chandrababu, Jamuna Rani",SM Subbiah Naidu,
1959,Sivaji,Bhaga Pirivinai,Thangathile Oru Kurai,P Susheela,Visw-Ram,Bhimsingh
1959,Sivaji,Bhaga Pirivinai,Thalaiyam Poo,"TMS, Leela",Visw-Ram,Bhimsingh
1959,Sivaji,Bhaga Pirivinai,En Piranthai Magane,TMS,Visw-Ram,Bhimsingh
1960,Sivaji,Deiva Piravi,Anbale Thediya En,"CS Jayaram, S Janaki",R Sudarsanam,Krishnanâ€“Panju
1960,Sivaji,Padikadha Medhai,Ore Oru Oorile,"TMS, Soolamangalam",KV Mahadevan,Bhimsingh
1960,Sivaji,Paavai Vilaku,Aayiram Kan,CS Jayaram,KV Mahadevan,
1960,Sivaji,Paavai Vilaku,Kaaviyama Nenjil,"CS Jayaram, P Susheela",KV Mahadevan,
1960,Sivaji,Paavai Vilaku,Vannatamizh Pen Oruthi,"CS Jayaram, LR Eswari",KV Mahadevan,
1960,Sivaji,Vidivelli,Aadamal Adugiren,P Susheela,AM Rajah,CV Sridhar
1961,Sivaji,Paava Manippu,Athan Enathan,P Susheela,Visw-Ram,Bhimsingh
1961,Sivaji,Paava Manippu,Kaalangalil Aval,PB Sreenivas,Visw-Ram,Bhimsingh
1961,Sivaji,Paava Manippu,Paal Irukum,P Susheela,Visw-Ram,Bhimsingh
1961,Sivaji,Paava Manippu,Elorum Kondaduvom,"TMS, Nagoor Hanifa",Visw-Ram,Bhimsingh
1961,Sivaji,Paava Manippu,Vandha Naal ,TMS,Visw-Ram,Bhimsingh
1961,Sivaji,Pasamalar,Malargalai Pol Thangai,TMS,Visw-Ram,Bhimsingh
1961,Sivaji,Pasamalar,Malarnthum Malaradha,"TMS, P Susheela",Visw-Ram,Bhimsingh
1961,Sivaji,Pasamalar,Mayangugiral Oru Madhu,P Susheela,Visw-Ram,Bhimsingh
1961,Sivaji,Pasamalar,Vaarai En Thozhi,LR Eswari,Visw-Ram,Bhimsingh
1961,Sivaji,Pasamalar,Yaar Yaar Aval,"PB Sreenivas, P Susheela",Visw-Ram,Bhimsingh
1961,Sivaji,Paalum Pazhamum,Aalaya Maniyin,P Susheela,Visw-Ram,Bhimsingh
1961,Sivaji,Paalum Pazhamum,Ennai Yaar Endru,"TMS, P Susheela",Visw-Ram,Bhimsingh
1961,Sivaji,Paalum Pazhamum,Kathal Siragai,P Susheela,Visw-Ram,Bhimsingh
1961,Sivaji,Paalum Pazhamum,Naan Pesa Ninaipadhelam,"TMS, P Susheela",Visw-Ram,Bhimsingh
