Year,Actor,Movie,Songs,Singer,Music Director,Director
1990,,Keladi Kanmani,Nee Paathi Naan Paathi,,Ilayaraja,
1990,Prabhu,Arangetra Velai ,Aagaya Vennilave,,Ilayaraja,Fazil
1990,,Mounam Sammadham,Kalyana Then Nila,,Ilayaraja,
1990,Ramarajan,Ooru Vittu Ooru Vanthu,Sorgame Endralum,,Ilayaraja,Gangai Amaran
1991,,Eeramana Rojave,Adho Mega Oorvalam,,Ilayaraja,
1991,,En Rasavin Manasile,Kuyil Paatu ,,Ilayaraja,
1991,,En Rasavin Manasile,Poda Poda Punnaakku,,Ilayaraja,
1991,,En Rasavin Manasile,Penn Manasu Aalam Endru,,Ilayaraja,
1991,Murali,Idhayam,Pottu Vaitha Oru Vatta Nila,,Ilayaraja,Kathir
1991,Murali,Idhayam,Idhayame Idhayame,,Ilayaraja,Kathir
1991,Prabhu,Chinna Thambi,Thooliyile Ada Vantha,,Ilayaraja,P Vasu
1991,Prabhu,Chinna Thambi,Poovoma Oorgolam,,Ilayaraja,P Vasu
1991,Prabhu,Chinna Thambi,Arachcha Santhanam,,Ilayaraja,P Vasu
1991,Sathyaraj,Bramma,Varuthu Varuthu,,Ilayaraja,
1991,,Pudhu Nellu Pudhu Naathu,Karutha Machan,,Ilayaraja,
1992,Sathyaraj,Rickshaw Mama,Vaigai Nathioram,,Ilayaraja,P Vasu
1992,Sathyaraj,Rickshaw Mama,Thanga Nilavukkul,,Ilayaraja,P Vasu
1992,Murali,Chinna Pasanga Naanga,Enna Maanamulla Ponnu,,Ilayaraja,
1992,Prashanth,Chembaruthi,Nila Kaayum Neram Charanam,,Ilayaraja,
1992,Prabhu,Chinnavar,Andhiyile Vaanam,,Ilayaraja,Gangai Amaran
1992,,Aavarampoo,Aalolam Paadi,,Ilayaraja,
1992,Vikram,Meera,O Butterfly,,Ilayaraja,
1992,Vikram,Meera,Pudhu Routeladan,,Ilayaraja,
1993,,Aranmanai Kili,Adi Poonguyile,,Ilayaraja,
1993,,Marupadiyum,Aasai Athigam ,,Ilayaraja,Balu Mahendra
1993,,Marupadiyum,Nalam Vaazha,,Ilayaraja,Balu Mahendra
1993,Prabhu,Sinna Mapplai,Kadhorum Lolakku,,Ilayaraja,
1993,Sathyaraj,Udan Pirappu,Nandri Sollave Unaku ,,Ilayaraja,P Vasu
1993,,Valli,Ennule Ennule,,Ilayaraja,
1993,Prabhu,Uthama Raasa,Indha Maamanoda Manasu,,Ilayaraja,
1994,,Sakthivel,Malliga Mottu,,Ilayaraja,KS Ravikumar
1994,Prabhu,Rajakumaran,Ennavendru Solvathamma,,Ilayaraja,RV Udayakumar
1994,Prabhu,Rajakumaran,Pottu Vachathu Yaaru,,Ilayaraja,RV Udayakumar
1995,,Avatharam,Thendral Vanthu Thendumbodhu,,Ilayaraja,
1996,Sivakumar,Nattupura Pattu,Oththa Roova,,Ilayaraja,
1997,Vijay,Kadhaliku Mariyadhai,Ennai Thaalata Varuvalo,,Ilayaraja,Fazil
1999,Prabhu,Kummi Paatu,Aaasai Machan,,Ilayaraja,
2001,Vikram,Kasi,En Mana Vaanil,,Ilayaraja,
2002,,Azhagi,Oliyile Therivadhu Devadhaya,,Ilayaraja,
2002,,Azhagi,Un Kuthama En Kuthama,,Ilayaraja,
2003,Vikram,Pithamagan,Elangaathu Veesudhey,,Ilayaraja,
2003,Vikram,Pithamagan,Piraye Piraye,,Ilayaraja,
2005,,Oru Naal Oru Kanavu,Kaatril Varum Geethame,,Ilayaraja,Fazil
2009,,Naan Kadavul,Om Sivoham,,Ilayaraja,
2009,,Naan Kadavul,Pitchai Paathiram,,Ilayaraja,
2012,,Neethaane En Ponvasantham,Saayndhu Saayndhu,,Ilayaraja,
2012,,Neethaane En Ponvasantham,Kaatrai Konjam,,Ilayaraja,
2012,,Neethaane En Ponvasantham,Satru Munbu,,Ilayaraja,
2020,,Psycho,Unna Nenachu,,Ilayaraja,
2023,,Viduthalai,Kaattumalli,,Ilayaraja,
1992,Arvind Swamy,Roja,Rukkumani Rukkumani,"SPB, Chitra",AR Rahman,Mani Ratnam
1992,Arvind Swamy,Roja,Pudhu Vellai Mazhai,"Unni Menon, Sujatha Mohan",AR Rahman,Mani Ratnam
1992,Arvind Swamy,Roja,Kadhal Rojave,"SPB, Sujatha Mohan",AR Rahman,Mani Ratnam
1992,Arvind Swamy,Roja,Thamizha Thamizha,Hariharan,AR Rahman,Mani Ratnam
1992,Arvind Swamy,Roja,Chinna Chinna Aasai,Minmini,AR Rahman,Mani Ratnam
1993,,Pudhiya Mugam,Netru Iladha Matram,Sujatha Mohan,AR Rahman,
1993,,Pudhiya Mugam,Kannuku Mai Azhagu,Unni Menon,AR Rahman,
1993,,Pudhiya Mugam,July Matham,"SPB, Anupama",AR Rahman,
1993,Arjun,Gentleman,En Veetu Thotathil,"SPB, Sujatha Mohan",AR Rahman,Shankar
1993,Arjun,Gentleman,Usalampatti Penkutti,"Shahul Hameed, Swarnalatha",AR Rahman,Shankar
1993,Arjun,Gentleman,Chikku Bukku,Suresh Peters,AR Rahman,Shankar
1993,Arjun,Gentleman,Ottagathai Kattiko,"SPB, S Janaki, Sujatha Mohan",AR Rahman,Shankar
1993,,Kizhaku Cheemayile,Aathangara Marame,"Mano, Sujatha Mohan",AR Rahman,Bharathiraja
1993,,Kizhaku Cheemayile,Then Kizhaku Cheemayile,"Chitra, Malaysia Vasudevan",AR Rahman,Bharathiraja
1993,,Kizhaku Cheemayile,Maanooththu Manthaiyile,"SPB, Sasirekha",AR Rahman,
1993,,Kizhaku Cheemayile,Edhuku Pondati,"Shahul Hameed, TK Kala",AR Rahman,
1993,Prabhu,Uzhavan,Pennala Pennala,SPB,AR Rahman,Kathir
1993,Prashanth,Thiruda Thiruda,Veerapandi Kotayile,"Chitra, Mano, Unni Menon",AR Rahman,Mani Ratnam
1993,Prashanth,Thiruda Thiruda,Chandralekha,"Anupama, Suresh Peters",AR Rahman,Mani Ratnam
1993,Prashanth,Thiruda Thiruda,Rasathi,"Shahul Hameed, Sujatha Mohan",AR Rahman,Mani Ratnam
1993,Prashanth,Thiruda Thiruda,Putham Pudhu Boomi,"Chitra,Mano",AR Rahman,Mani Ratnam
1993,Prashanth,Thiruda Thiruda,Thee Thee,"Caroline, Noel James",AR Rahman,Mani Ratnam
1993,Prashanth,Thiruda Thiruda,Kannum Kannum,Mano,AR Rahman,Mani Ratnam
1994,Sathyaraj,Vandicholai Chinrasu,Senthamizh Naatu Thamizhachiye,Shahul Hameed,AR Rahman,
1994,Sathyaraj,Vandicholai Chinrasu,Chitthirai Nilavu,"Jayachandran, Minmini",AR Rahman,
1994,Prabhu,Duet,Anjali Anjali,"SPB, Chitra",AR Rahman,K Balachander
1994,Prabhu,Duet,Vennilavin Theril,KJ Yesudas,AR Rahman,K Balachander
1994,Prabhu,Duet,Mettupodu Mettupodu,"SPB, P Susheela",AR Rahman,K Balachander
1994,Prabhu,Duet,En Kadhale,SPB,AR Rahman,K Balachander
1994,Prabhu,Duet,Kulicha Kuthalam,"SPB, TK Kala",AR Rahman,K Balachander
1994,Prabhu,Duet,Naan Paadum Sandham,SPB,AR Rahman,K Balachander
1994,,May Madham,Margazhi Poove,Shobha Shankar,AR Rahman,
1994,,May Madham,Minnale Nee,SPB,AR Rahman,
1994,,May Madham,En Mel Vizhunda,"Jayachandran, Chitra",AR Rahman,
1994,,Kadhalan,Ennavale Adi Ennavale,Unni Krishnan ,AR Rahman,Shankar
1994,,Kadhalan,Mukkala Mukkabala,"Mano, Swarnalatha",AR Rahman,Shankar
1994,,Kadhalan,Kadhalikum Penin,"SPB, Udit Narayan",AR Rahman,Shankar
1994,,Kadhalan,Urvashi Urvashi,"ARR ,Suresh Peters, Shahul Hameed",AR Rahman,Shankar
1994,,Pavitra,Uyirum Neeyae,Unni Krishnan ,AR Rahman,
1994,,Karuthamma,Themerku Paruva Kaatru,"Unni Krishnan, Chitra",AR Rahman,Bharathiraja
1994,,Karuthamma,Poralee Ponnuthayi,"Unni Menon, Sujatha Mohan",AR Rahman,Bharathiraja
1994,Vikram,Pudhiya Mannargal,Eduda Antha Sooriya,"SPB, Minmini",AR Rahman,
1994,Vikram,Pudhiya Mannargal,Nee Kattum Selai,"Sujatha Mohan, TL Maharajan",AR Rahman,
1995,Arvind Swamy,Bombay,Hamma Hamma,"ARR, Remo Fernandes, Swarnalatha",AR Rahman,Mani Ratnam
1995,Arvind Swamy,Bombay,Kannalane,Chitra,AR Rahman,Mani Ratnam
1995,Arvind Swamy,Bombay,Uyire Uyire,"Hariharan, Chitra",AR Rahman,Mani Ratnam
1995,Arvind Swamy,Bombay,Kuchi Kuchi,"Hariharan, Swarnalatha",AR Rahman,Mani Ratnam
1995,Arvind Swamy,Bombay,Poovukena Pootu,"Noel James, Anupama,Malgudi Subha",AR Rahman,Mani Ratnam
1995,Arvind Swamy,Indira,Nila Kaikiradhu,"Harini, Hariharan",AR Rahman,
1995,Arvind Swamy,Indira,Odakara Marimuthu,"SPB, Sirkazhi Jr",AR Rahman,
1995,Arvind Swamy,Indira,Thoda Thoda,"SPB, Chitra",AR Rahman,
1996,,Love Birds,Malargaley,"Chitra, Hariharan",AR Rahman,P Vasu
1996,,Kadhal Desam,Ennai Kanavilaye,"SPB, OS Arun",AR Rahman,Kathir
1996,,Kadhal Desam,Mustafa Mustafa,ARR,AR Rahman,Kathir
1996,,Mr Romeo,Romeo Aatam Potal,"Hariharan, Udit Narayan",AR Rahman,
1997,Arvind Swamy,Minsara Kanavu,Poo Pookum Osai,"Sujatha Mohan, Malaysia Vasudevan",AR Rahman,Rajiv Menon
1997,Arvind Swamy,Minsara Kanavu,Mana Madurai,"Unni Menon, Chitra, Srinivas",AR Rahman,Rajiv Menon
1997,Arvind Swamy,Minsara Kanavu,Thanga Thamarai,"SPB, Malgudi Subha",AR Rahman,Rajiv Menon
1997,Arvind Swamy,Minsara Kanavu,Strawberry Kannae,"KK, Febi Mani",AR Rahman,Rajiv Menon
1997,Arvind Swamy,Minsara Kanavu,Vennilave Vennilave,"Hariharan, Sadhana Sargam",AR Rahman,Rajiv Menon
1997,,Iruvar,Hello Mister Edhirkatchi,Harini,AR Rahman,Mani Ratnam
1997,,Iruvar,Narumugaye,"Unni Krishnan, Bombay Jayashri",AR Rahman,Mani Ratnam
1997,,Iruvar,Kannai Kattikolathey,Hariharan,AR Rahman,Mani Ratnam
1997,,Ratchagan,Soniya Soniya,"Udit Narayan, Unni Krishnan",AR Rahman,Praveen Gandhi
1997,,Ratchagan,Chandiranai Thottathu Yaar,"Hariharan, Sujatha Mohan",AR Rahman,Praveen Gandhi
1998,Prashanth,Jeans,Enakke Enakka,Unni Krishnan,AR Rahman,Shankar
1998,Prashanth,Jeans,Columbus Columbus,ARR,AR Rahman,Shankar
1998,Prashanth,Jeans,Poovukul Olinthirukum,"Unni Krishnan, Sujatha Mohan",AR Rahman,Shankar
1998,Prashanth,Jeans,Kannodu Kanbadhellam,Nithyasree,AR Rahman,Shankar
1998,Prashanth,Jeans,Varayo Thozhi,"Shahul Hameed, Harini",AR Rahman,Shankar
1998,Prashanth,Jeans,Anbe Anbe,"Hariharan, Anuradha Sriram",AR Rahman,Shankar
1998,,Uyire,Poongatrile Un Swasathai,"Unni Menon, Swarnalatha",AR Rahman,Mani Ratnam
1998,,Uyire,Ennuyire Ennuyire,"Kavitha, Srinivas, Sujatha",AR Rahman,Mani Ratnam
1998,,Uyire,Nenjinile Nenjinile,"S Janaki, MG Sreekumar",AR Rahman,Mani Ratnam
1998,,Uyire,Sandhosa Kannere,"ARR, Anuradha Sriram, Febi Mani",AR Rahman,Mani Ratnam
1998,,Uyire,Thaiyya Thaiyya,Sukhwinder Singh,AR Rahman,Mani Ratnam
1999,Arvind Swamy,En Swasa Katre,Jumbalakka,Rafee,AR Rahman,
1999,,Kadhalar Dhinam,Daandiya Aatamumaada,"Kavitha, Unni Menon, MG Sreekumar",AR Rahman,Kathir
1999,,Kadhalar Dhinam,Enna Vilai Azhage,Unni Menon,AR Rahman,Kathir
1999,,Kadhalar Dhinam,Kadhalenum Thervezhudhi,"SPB, Swarnalatha",AR Rahman,Kathir
1999,,Kadhalar Dhinam,Roja Roja,Unni Krishnan,AR Rahman,Kathir
1999,,Sangamam,Mazhai Thuli,"Hariharan, MSV",AR Rahman,Suresh Krishna
1999,,Sangamam,Varaha Nadhikarai,Shankar Mahadevan,AR Rahman,Suresh Krishna
1999,,Sangamam,Sowkiyama Kanne,Nithyasree,AR Rahman,Suresh Krishna
1999,,Sangamam,Mudhal Murai Killi Parthen,"Srinivas, Sujatha Mohan",AR Rahman,Suresh Krishna
1999,,Sangamam,Margazhi Thingal Allava,"S Janaki, Unni Krishnan",AR Rahman,Suresh Krishna
1999,,Thaalam,Thaalathil,"Sukhwinder Singh, SPB",AR Rahman,
1999,Prashanth,Jodi,Velli Malare,"SPB, Mahalakshmi Iyer",AR Rahman,Praveen Gandhi
1999,Prashanth,Jodi,Oru Poiyavadhu,Hariharan,AR Rahman,Praveen Gandhi
1999,Prashanth,Jodi,Kadhal Kaditham,"S Janaki, Unni Menon",AR Rahman,Praveen Gandhi
1999,Arjun,Mudhalvan,Kurukku Sirithavale,"Hariharan, Mahalakshmi Iyer",AR Rahman,Shankar
1999,Arjun,Mudhalvan,Uppu Karuvadu,"Shankar Mahadevan, Kavitha",AR Rahman,Shankar
1999,Arjun,Mudhalvan,Ulundhu Vithakkayilae,"Srinivas, Swarnalatha",AR Rahman,Shankar
1999,,Taj Mahal,Thirupaachi Aruvalu,"Kalpana, Clinton, Palakkad Sreeram",AR Rahman,Bharathiraja
1999,,Taj Mahal,Sotta Sotta,"Srinivas, Sujatha Mohan",AR Rahman,Bharathiraja
1999,,Taj Mahal,Kulirudhu Kulirudhu,"Unni Krishnan, Swarnalatha",AR Rahman,Bharathiraja
2000,Madhavan,Alaipayuthey,September Madham,"Asha Bhosle, Shankar Mahadevan",AR Rahman,Mani Ratnam
2000,Madhavan,Alaipayuthey,Kadhal Sadugudu,SP Charan,AR Rahman,Mani Ratnam
2000,Madhavan,Alaipayuthey,Snehidhane Snehidhane,"Sadhana Sargam, Srinivas",AR Rahman,Mani Ratnam
2000,Madhavan,Alaipayuthey,Maangalyam,"Clinton, Srinivas, ARR",AR Rahman,Mani Ratnam
2000,Madhavan,Alaipayuthey,Yaaro Yaarodi,Mahalakshmi Iyer,AR Rahman,Mani Ratnam
2000,Madhavan,Alaipayuthey,Endrendum Punnagai,"Clinton, Srinivas, Shankar Mahadevan",AR Rahman,Mani Ratnam
2000,Madhavan,Alaipayuthey,Evano Oruvan,Swarnalatha,AR Rahman,Mani Ratnam
2000,Madhavan,Alaipayuthey,Pachai Nirame,"Hariharam, Clinton",AR Rahman,Mani Ratnam
2000,Ajith,Kandukondain Kandukondain,Kandukondain Kandukondain,"Hariharan, Mahalakshmi Iyer",AR Rahman,Rajiv Menon
2000,Ajith,Kandukondain Kandukondain,Enna Solla Pogirai,Shankar Mahadevan,AR Rahman,Rajiv Menon
2000,Ajith,Kandukondain Kandukondain,Kannanmoochi Yenada,Chitra,AR Rahman,Rajiv Menon
2000,Ajith,Kandukondain Kandukondain,Engae Enathu Kavithai,"Chitra, Srinivas",AR Rahman,Rajiv Menon
2000,Arjun,Rhythm,Kaatre En Vaasal,"Kavitha, Unni Krishnan",AR Rahman,Vasanth
2000,Arjun,Rhythm,Nadhiye Nadhiye,Unni Menon,AR Rahman,Vasanth
2000,Arjun,Rhythm,Thaniye Thannanthaniye,Shankar Mahadevan,AR Rahman,Vasanth
2001,Prashanth,Star,Thom Karuvil Irundhom,Shankar Mahadevan,AR Rahman,Praveen Gandhi
2002,Madhavan,Kannathil Muthamittal,Vellai Pookal,ARR,AR Rahman,Mani Ratnam
2002,Madhavan,Kannathil Muthamittal,Vida Kodu Engal Naadae,"MSV, Febi Mani",AR Rahman,Mani Ratnam
2002,Madhavan,Kannathil Muthamittal,Kannathil Muthamittal,"Jayachandran, Chinmayi",AR Rahman,Mani Ratnam
2003,,Boys,Girlfriend,"Karthik, Tippu",AR Rahman,Shankar
2003,,Enakku 20 Unaku 18,Sandhippoma,"Unni Menon, Anupama",AR Rahman,
2004,Suriya,Aayudha Ezhuthu,Hey Goodbye Nanba,"Sunitha, Shankar Mahadevan",AR Rahman,Mani Ratnam
2004,Suriya,Aayudha Ezhuthu,Sandakkozhi,"Madhushree, ARR",AR Rahman,Mani Ratnam
2004,Suriya,Aayudha Ezhuthu,Nenjam Ellam,"Adnan Sami, Sujatha Mohan",AR Rahman,Mani Ratnam
2004,Suriya,Aayudha Ezhuthu,Yaakai Thiri,"Sunitha, ARR",AR Rahman,Mani Ratnam
2004,Suriya,Aayudha Ezhuthu,Jana Gana Mana,"ARR, Karthik",AR Rahman,Mani Ratnam
2004,,New,Kalayil Thinamum,"Unni Krishnan, Sadhana Sargam",AR Rahman,
2005,,Anbe Aaruyire,Aararai Kodi,ARR,AR Rahman,
2005,,Anbe Aaruyire,Mayiliragae,"Naresh Iyer, Madhushree",AR Rahman,
2006,Suriya ,Sillunu Oru Kadhal,Kummi Adi,"Sirkazhi Jr, Swarnalatha, Naresh Iyer",AR Rahman,Krishna
2006,Suriya ,Sillunu Oru Kadhal,New York Nagaram,ARR,AR Rahman,Krishna
2006,Suriya ,Sillunu Oru Kadhal,Munbe Vaa,"Shreya Ghoshal, Naresh Iyer",AR Rahman,Krishna
2006,Suriya ,Sillunu Oru Kadhal,Jillunu Oru Kadhal,"Tanvi Shah, Bhargavi Pillai",AR Rahman,Krishna
2007,,Guru,Aaruyire,"ARR, Chinmayi",AR Rahman,Mani Ratnam
2007,,Guru,Mayya Mayya,Chinmayi,AR Rahman,Mani Ratnam
2007,,Guru,Ey Maanburu Mangaiye,"Srinivas, Sujatha Mohan",AR Rahman,Mani Ratnam
2007,,Guru,Nanare,Shreya Ghoshal ,AR Rahman,Mani Ratnam
2007,Vijay,Azhagiya Tamil Magan,Ella Pugazhum,ARR,AR Rahman,
2007,Vijay,Azhagiya Tamil Magan,Ponmagal Vandhal,Mohammed Aslam,AR Rahman,
2007,Vijay,Azhagiya Tamil Magan,Valayapatti Thavile,Naresh Iyer,AR Rahman,
2007,Vijay,Azhagiya Tamil Magan,Maduraiku Pogathadee,Benny Dayal,AR Rahman,
2008,,Jodha Akbar,Muzhumathi,Srinivas,AR Rahman,
2008,,Sakkarakatti,Marudaani,"Madhushree, ARR",AR Rahman,
2010,Simbu,Vinnaithaandi Varuvaayaa,Omana Penne,"Benny Dayal, Kalyani Menon",AR Rahman,Gautham Menon
2010,Simbu,Vinnaithaandi Varuvaayaa,Anbil Avan,"Devan, Chinmayi",AR Rahman,Gautham Menon
2010,Simbu,Vinnaithaandi Varuvaayaa,Kannukul Kannai,Naresh Iyer,AR Rahman,Gautham Menon
2010,Simbu,Vinnaithaandi Varuvaayaa,Mannipaaya,"ARR, Shreya Ghoshal",AR Rahman,Gautham Menon
2010,Simbu,Vinnaithaandi Varuvaayaa,Aaromale,Alphons Joseph,AR Rahman,Gautham Menon
2010,Simbu,Vinnaithaandi Varuvaayaa,Hosanna,"Vijay Prakash, Suzanne, Blazze",AR Rahman,Gautham Menon
2010,Simbu,Vinnaithaandi Varuvaayaa,Vinnaithaandi Varuvaayaa,Karthik,AR Rahman,Gautham Menon
2010,Vikram,Raavanan,Usure Pogudhey,Karthik,AR Rahman,Mani Ratnam
2010,Vikram,Raavanan,Kodu Poatta,Benny Dayal,AR Rahman,Mani Ratnam
2010,Vikram,Raavanan,Kaatu Sirukki,"Shankar Mahadevan, Anuradha Sriram",AR Rahman,Mani Ratnam
2010,Vikram,Raavanan,Kalvare,Shreya Ghoshal,AR Rahman,Mani Ratnam
2013,,Kadal,Nenjukkule,Shakthisree,AR Rahman,Mani Ratnam
2013,,Kadal,Moongil Thotam,Abhay Jodhpurkar,AR Rahman,Mani Ratnam
2013,,Kadal,Adiye,Sid Sriram,AR Rahman,Mani Ratnam
2013,,Kadal,Elay Keechan,ARR,AR Rahman,Mani Ratnam
2013,,Kadal,Magudi Magudi,"Aarya Dinesh, Chinmayi",AR Rahman,Mani Ratnam
2013,,Kadal,Chithirai Nela,Vijay Yesudas,AR Rahman,Mani Ratnam
2013,Dhanush,Maryan,Nenjae Yezhu,ARR,AR Rahman,
2013,Dhanush,Maryan,Innum Konja Neram,"Vijay Prakash, Swetha Mohan",AR Rahman,
2013,Dhanush,Maryan,Naetru Aval Irundhal,"Vijay Prakash, Chinmayi",AR Rahman,
2013,Dhanush,Maryan,Sonnapareeya,"Javed Ali, Haricharan",AR Rahman,
2013,Dhanush,Maryan,Kadal Raasa Naan,Yuvan,AR Rahman,
2014,,Kaaviya Thalaivan,Vaanga Makka Vaanga,Haricharan,AR Rahman,
2014,,Kaaviya Thalaivan,Yaarumilla,"Swetha Mohan, Srinivas",AR Rahman,
2015,Vikram,I,Mersalaayitten,"Anirudh, Neeti Mohan",AR Rahman,Shankar
2015,Vikram,I,Ennodu Nee Irndhaal,"Sid Sriram, Sunitha",AR Rahman,Shankar
2015,Vikram,I,Pookale Sattru Oyivedungal,"Haricharan, Shreya Ghoshal",AR Rahman,Shankar
2015,,OK Kanmani,Aye Sinamika,Karthik,AR Rahman,Mani Ratnam
2015,,OK Kanmani,Naane Varugiren,"Shashaa, Sathyaprakash",AR Rahman,Mani Ratnam
2015,,OK Kanmani,Kaara Attakkaaraa,"Aarya Dinesh, Shashaa",AR Rahman,Mani Ratnam
2015,,OK Kanmani,Paranthu Sella Vaa,"Karthik, Shashaa",AR Rahman,Mani Ratnam
2015,,OK Kanmani,Mental Manadhil,"ARR, Jonita ",AR Rahman,Mani Ratnam
2015,,OK Kanmani,Malargal Keten,"Chitra, ARR",AR Rahman,Mani Ratnam
2015,,OK Kanmani,Maula Wa Salim,AR Ameen,AR Rahman,Mani Ratnam
2016,Simbu,AYM,Showkali,"Aditya Rao, Dinesh",AR Rahman,Gautham Menon
2016,Simbu,AYM,Idhu Naal,"Aditya Rao, Jonita ",AR Rahman,Gautham Menon
2016,Simbu,AYM,Rasaali,"Sathyaprakash, Shashaa",AR Rahman,Gautham Menon
2016,Simbu,AYM,Avalum Naanum,Vijay Yesudas,AR Rahman,Gautham Menon
2016,Simbu,AYM,Thalli Pogadhey,"Sid Sriram, Dinesh",AR Rahman,Gautham Menon
2017,Karthi,Kaatru Veliyidai,Nallai Allai,"Sathyaprakash, Chinmayi",AR Rahman,Mani Ratnam
2017,Karthi,Kaatru Veliyidai,Azhagiye,"Arjun Chandy, Haricharan, Jonita",AR Rahman,Mani Ratnam
2017,Karthi,Kaatru Veliyidai,Vaan Varuvaan,Shashaa,AR Rahman,Mani Ratnam
2017,Karthi,Kaatru Veliyidai,Saarattu Vandiyile,"ARR, Nikhita, Tippu",AR Rahman,Mani Ratnam
2017,Karthi,Kaatru Veliyidai,Tango Kelayo,"Haricharan, Diwakar",AR Rahman,Mani Ratnam
2017,Vijay,Mersal,Aalaporaan Thamizhan,"Kailash Kher, Sathyaprakash",AR Rahman,
2017,Vijay,Mersal,Neethane ,"Shreya Ghoshal, ARR",AR Rahman,
2017,Vijay,Mersal,Mersal Arasan,"GV Prakash, Naresh Iyer, Sharanya",AR Rahman,
2018,,CCV,Sevandhu Pochu Nenju,"Arjun Chandy, Sathyaprakash, Sunitha",AR Rahman,Mani Ratnam
2018,,CCV,Bhoomi Bhoomi,Shakthisree,AR Rahman,Mani Ratnam
2018,,CCV,Mazhai Kuruvi,ARR,AR Rahman,Mani Ratnam
2018,,CCV,Hayati,"Shiv, Mayssa Karaa",AR Rahman,Mani Ratnam
2018,Vijay,Sarkar,Simtaangaran,Bamba Bakya,AR Rahman,AR Murugadoss
2018,Vijay,Sarkar,Oru Viral Puratchi,ARR,AR Rahman,AR Murugadoss
2019,,Sarvam Thala Mayam,Sarvam Thala Mayam,"Haricharan, Arjun Chandy",AR Rahman,Rajiv Menon
2019,,Sarvam Thala Mayam,Varalaama,Sriram Parthasarathy,AR Rahman,Rajiv Menon
2019,Vijay,Bigil,Unakaga,"Sreekanth, Madhura",AR Rahman,
2022,Vikram,Cobra,Thumbi Thullai,"Shreya Ghoshal, Nakul Abhyankar",AR Rahman,
2022,Vikram,Cobra,Adheera,Vagu Mazan,AR Rahman,
2022,Vikram,Cobra,Uyir Urugudhey,"ARR, Sreekanth",AR Rahman,
2022,Simbu,VTK,Kaalathukum Nee Venum,"Rakshita Suresh, Simbu",AR Rahman,Gautham Menon
2022,Simbu,VTK,Marakuma Nenjam,ARR,AR Rahman,Gautham Menon
2022,Simbu,VTK,Mallipoo,Madhushree ,AR Rahman,Gautham Menon
2022,"Vikram,Karthi",Ponniyin Selvan: I,Ponni Nadhi,"ARR, Bamba Bakya",AR Rahman,Mani Ratnam
2022,"Vikram,Karthi",Ponniyin Selvan: I,Chola Chola,"Sathyaprakash, Nakul Abhyankar",AR Rahman,Mani Ratnam
2022,"Vikram,Karthi",Ponniyin Selvan: I,Ratchasa Maamaney,"Shreya Ghoshal, Palakkad Sreeram",AR Rahman,Mani Ratnam
2022,"Vikram,Karthi",Ponniyin Selvan: I,Alaikadal,Antara Nandy,AR Rahman,Mani Ratnam
2022,"Vikram,Karthi",Ponniyin Selvan: I,Devaralan Aatam,Yogi Sekar,AR Rahman,Mani Ratnam
2022,"Vikram,Karthi",Ponniyin Selvan: I,Sol,Rakshita Suresh,AR Rahman,Mani Ratnam
2023,Simbu,Pathu Thala,Namma Satham,"ARR, Yogi Sekar",AR Rahman,Krishna
2023,Simbu,Pathu Thala,Ninaivirukka,"AR Ameen, Shakthisree",AR Rahman,Krishna
2023,Simbu,Pathu Thala,Nee Singam Dhan,Sid Sriram,AR Rahman,Krishna
2023,Simbu,Pathu Thala,Raawadi,"Shuba, Nivas",AR Rahman,Krishna
2023,Simbu,Pathu Thala,Osarattum Pathu Thala,"Sreekanth, Sathyaprakash, Deepthi",AR Rahman,Krishna
2023,"Vikram,Karthi",Ponniyin Selvan: II,Aga Naga,Shakthisree,AR Rahman,Mani Ratnam
2023,"Vikram,Karthi",Ponniyin Selvan: II,Veera Raja Veera,"Shankar Mahadevan, Chitra,Harini",AR Rahman,Mani Ratnam
2023,"Vikram,Karthi",Ponniyin Selvan: II,Chinnanjiru Nilave,Haricharan,AR Rahman,Mani Ratnam
2023,,Maamannan,Raasa Kannu,Vadivelu,AR Rahman,
2023,,Maamannan,Jigu Jigu Rail,ARR,AR Rahman,
2023,,Maamannan,Kodi Parakura Kaalam,"Kalpana, Rakshita Suresh",AR Rahman,
2023,,Maamannan,Nenjame Nenjame,"Vijay Yesudas, Shakthisree",AR Rahman,
2001,Madhavan,Minnale,Azhagiya Theeye,,Harris,Gautham Menon
2001,Madhavan,Minnale,Ore Nyabagam,,Harris,Gautham Menon
2001,Madhavan,Minnale,Maddy Maddy,,Harris,Gautham Menon
2001,Madhavan,Minnale,Vaseegara,,Harris,Gautham Menon
2001,Madhavan,Minnale,Poopol Poopol,,Harris,Gautham Menon
2001,Madhavan,Minnale,Venmathi Venmathiye,,Harris,Gautham Menon
2001,Madhavan,Minnale,Ivan Yaaro,,Harris,Gautham Menon
2001,,Majunu,Mudhal Kanave,,Harris,
2001,,Majunu,Mercury Mele,,Harris,
2001,Shaam,12B,Oru Punnagai Poove,,Harris,Jeeva
2001,Shaam,12B,Jothi Neranjava,,Harris,Jeeva
2002,Vikram,Samurai,Moongil Kaadugale,,Harris,
2003,Shaam,Lesa Lesa,Aval Ulagazhagi,,Harris,
2003,Shaam,Lesa Lesa,Lesa Lesa,,Harris,
2003,Vikram,Saamy,Thirunelveli Halwada,,Harris,Hari
2003,Vikram,Saamy,Idhuthaanaa,,Harris,Hari
